city,year,weekofyear,total_cases
sj,2011,9,10
sj,2011,10,7
sj,2011,11,8
sj,2011,12,5
sj,2011,13,5
sj,2011,14,1
sj,2011,15,3
sj,2011,16,7
sj,2011,17,5
sj,2011,18,6
sj,2011,19,4
sj,2011,20,4
sj,2011,21,13
sj,2011,22,17
sj,2011,23,11
sj,2011,24,15
sj,2011,25,20
sj,2011,26,19
sj,2011,27,16
sj,2011,28,22
sj,2011,29,29
sj,2011,30,26
sj,2011,31,25
sj,2011,32,31
sj,2011,33,38
sj,2011,34,31
sj,2011,35,51
sj,2011,36,26
sj,2011,37,58
sj,2011,38,27
sj,2011,39,34
sj,2011,40,42
sj,2011,41,26
sj,2011,42,36
sj,2011,43,33
sj,2011,44,28
sj,2011,45,20
sj,2011,46,26
sj,2011,47,23
sj,2011,48,22
sj,2011,49,23
sj,2011,50,13
sj,2011,51,18
sj,2012,52,12
sj,2012,1,11
sj,2012,2,12
sj,2012,3,18
sj,2012,4,15
sj,2012,5,18
sj,2012,6,9
sj,2012,7,13
sj,2012,8,16
sj,2012,9,8
sj,2012,10,10
sj,2012,11,7
sj,2012,12,7
sj,2012,13,4
sj,2012,14,9
sj,2012,15,3
sj,2012,16,8
sj,2012,17,19
sj,2012,18,12
sj,2012,19,14
sj,2012,20,19
sj,2012,21,10
sj,2012,22,12
sj,2012,23,10
sj,2012,24,15
sj,2012,25,16
sj,2012,26,9
sj,2012,27,14
sj,2012,28,15
sj,2012,29,16
sj,2012,30,31
sj,2012,31,36
sj,2012,32,52
sj,2012,33,39
sj,2012,34,61
sj,2012,35,29
sj,2012,36,41
sj,2012,37,46
sj,2012,38,39
sj,2012,39,65
sj,2012,40,78
sj,2012,41,118
sj,2012,42,157
sj,2012,43,118
sj,2012,44,214
sj,2012,45,181
sj,2012,46,250
sj,2012,47,151
sj,2012,48,153
sj,2012,49,106
sj,2012,50,119
sj,2012,51,104
sj,2013,1,106
sj,2013,2,51
sj,2013,3,54
sj,2013,4,37
sj,2013,5,17
sj,2013,6,10
sj,2013,7,12
sj,2013,8,7
sj,2013,9,8
sj,2013,10,8
sj,2013,11,14
sj,2013,12,11
sj,2013,13,31
sj,2013,14,17
sj,2013,15,44
sj,2013,16,14
sj,2013,17,22
iq,2010,26,6
iq,2010,27,3
iq,2010,28,4
iq,2010,29,3
iq,2010,30,7
iq,2010,31,5
iq,2010,32,5
iq,2010,33,4
iq,2010,34,3
iq,2010,35,3
iq,2010,36,5
iq,2010,37,4
iq,2010,38,11
iq,2010,39,5
iq,2010,40,8
iq,2010,41,10
iq,2010,42,5
iq,2010,43,8
iq,2010,44,11
iq,2010,45,12
iq,2010,46,12
iq,2010,47,11
iq,2010,48,13
iq,2010,49,21
iq,2010,50,15
iq,2010,51,19
iq,2011,52,20
iq,2011,1,12
iq,2011,2,13
iq,2011,3,11
iq,2011,4,4
iq,2011,5,9
iq,2011,6,5
iq,2011,7,9
iq,2011,8,7
iq,2011,9,1
iq,2011,10,3
iq,2011,11,4
iq,2011,12,3
iq,2011,13,4
iq,2011,14,6
iq,2011,15,4
iq,2011,16,4
iq,2011,17,5
iq,2011,18,6
iq,2011,19,7
iq,2011,20,3
iq,2011,21,5
iq,2011,22,6
iq,2011,23,6
iq,2011,24,2
iq,2011,25,3
iq,2011,26,2
iq,2011,27,1
iq,2011,28,2
iq,2011,29,4
iq,2011,30,4
iq,2011,31,3
iq,2011,32,3
iq,2011,33,5
iq,2011,34,4
iq,2011,35,5
iq,2011,36,5
iq,2011,37,4
iq,2011,38,9
iq,2011,39,8
iq,2011,40,6
iq,2011,41,4
iq,2011,42,6
iq,2011,43,6
iq,2011,44,7
iq,2011,45,3
iq,2011,46,8
iq,2011,47,8
iq,2011,48,7
iq,2011,49,8
iq,2011,50,8
iq,2011,51,11
iq,2012,52,9
iq,2012,1,7
iq,2012,2,14
iq,2012,3,4
iq,2012,4,6
iq,2012,5,9
iq,2012,6,7
iq,2012,7,4
iq,2012,8,5
iq,2012,9,3
iq,2012,10,5
iq,2012,11,2
iq,2012,12,5
iq,2012,13,4
iq,2012,14,4
iq,2012,15,2
iq,2012,16,3
iq,2012,17,4
iq,2012,18,3
iq,2012,19,1
iq,2012,20,0
iq,2012,21,3
iq,2012,22,3
iq,2012,23,2
iq,2012,24,5
iq,2012,25,2
iq,2012,26,3
iq,2012,27,4
iq,2012,28,1
iq,2012,29,4
iq,2012,30,1
iq,2012,31,4
iq,2012,32,3
iq,2012,33,3
iq,2012,34,8
iq,2012,35,4
iq,2012,36,5
iq,2012,37,4
iq,2012,38,9
iq,2012,39,6
iq,2012,40,9
iq,2012,41,7
iq,2012,42,12
iq,2012,43,11
iq,2012,44,11
iq,2012,45,9
iq,2012,46,9
iq,2012,47,7
iq,2012,48,10
iq,2012,49,5
iq,2012,50,9
iq,2012,51,7
iq,2013,1,6
iq,2013,2,14
iq,2013,3,7
iq,2013,4,7
iq,2013,5,6
iq,2013,6,4
iq,2013,7,4
iq,2013,8,3
iq,2013,9,5
iq,2013,10,4
iq,2013,11,7
iq,2013,12,5
iq,2013,13,11
iq,2013,14,2
iq,2013,15,3
iq,2013,16,2
iq,2013,17,2
iq,2013,18,6
iq,2013,19,5
iq,2013,20,5
iq,2013,21,4
iq,2013,22,2
iq,2013,23,1
iq,2013,24,7
iq,2013,25,3
iq,2013,26,3
